cohort,dice_mean,dice_median,dice_iqr_low,dice_iqr_high,dice_n,iou_mean,iou_median,iou_iqr_low,iou_iqr_high,iou_n,precision_mean,precision_median,precision_iqr_low,precision_iqr_high,precision_n,recall_mean,recall_median,recall_iqr_low,recall_iqr_high,recall_n,hd95_mm_mean,hd95_mm_median,hd95_mm_iqr_low,hd95_mm_iqr_high,hd95_mm_n
Duke,0.02252268979913622,0.021162141140126208,5.015662971757928e-11,0.0436848308891058,4,0.011521815812504587,0.010809830415569762,5.015662971757928e-11,0.02233164617791772,4,0.011986823777531401,0.010938565272664897,5.091298563297819e-11,0.022925388999283314,4,0.23305639048904706,0.14235501255894722,4.339173936829255e-09,0.37541139870882034,4,172.00772094726562,177.79592895507812,168.34906768798828,181.45458221435547,4
ISPY1,0.4105302821844816,0.34151843935251236,0.11344405077397823,0.6386046707630157,4,0.32350512593984604,0.22593418508768082,0.06036292016506195,0.4890763908624649,4,0.3407600708305836,0.24007225036621094,0.06211383268237114,0.5187184885144234,4,0.8704510480165482,0.9008177220821381,0.8132701516151428,0.9579986184835434,4,66.76050662994385,64.59988212585449,40.822001457214355,90.53838729858398,4
ISPY2,0.06086136590408846,0.04177638520942514,8.557189679070376e-11,0.1026377510279417,4,0.03262271921801134,0.021798871508701495,8.557189679070376e-11,0.05442159064114094,4,0.03362706400409139,0.023527054169651604,9.032557687915777e-11,0.057154118083417416,4,0.32592797344139696,0.18623095864963968,1.7893703810334394e-09,0.5121589303016663,4,127.80585479736328,122.5769157409668,104.34569549560547,146.0370750427246,4
NACT,0.3777099512517452,0.3116273768246174,0.10345850884914398,0.5858788192272186,4,0.2837795102968812,0.20053502544760704,0.054708865471184254,0.429605670273304,4,0.32011278811842203,0.21441145613789558,0.054914494045078754,0.47960975021123886,4,0.8175036460161209,0.8243012130260468,0.7732996642589569,0.8685051947832108,4,50.418267250061035,44.915815353393555,42.265313148498535,53.068769454956055,4
