cohort,dice_mean,dice_median,dice_iqr_low,dice_iqr_high,dice_n,iou_mean,iou_median,iou_iqr_low,iou_iqr_high,iou_n,precision_mean,precision_median,precision_iqr_low,precision_iqr_high,precision_n,recall_mean,recall_median,recall_iqr_low,recall_iqr_high,recall_n,hd95_mm_mean,hd95_mm_median,hd95_mm_iqr_low,hd95_mm_iqr_high,hd95_mm_n
Duke,0.06990244891494513,0.07799975946545601,0.06378357578068972,0.08411863259971142,4,0.03633302869275212,0.04058912955224514,0.03301473194733262,0.04390742629766464,4,0.03659737529233098,0.04070016369223595,0.03318469552323222,0.044112843461334705,4,0.8705238848924637,0.8780007362365723,0.837144285440445,0.911380335688591,4,170.18133926391602,183.46916961669922,153.64206314086914,200.0084457397461,4
ISPY1,0.37635991908609867,0.2836909182369709,0.09214713238179684,0.5679037049412727,4,0.28711119666695595,0.17955895513296127,0.048305537551641464,0.41836461424827576,4,0.2995345601812005,0.1879948303103447,0.04919710103422403,0.43833228945732117,4,0.7939011752605438,0.9042580425739288,0.7343079298734665,0.9638512879610062,4,62.078739643096924,53.50342559814453,40.75345849990845,74.82870674133301,4
ISPY2,0.10871679328556638,0.07351613231003284,0.006139697434264235,0.176093228161335,4,0.06167797141824849,0.03936472558416426,0.003081775997998193,0.09796092100441456,4,0.06251170991163235,0.040433420334011316,0.004669913949328475,0.0982752162963152,4,0.4933973391307518,0.485713763628155,0.010263947187922895,0.9688471555709839,4,131.6464500427246,136.92745208740234,123.29703521728516,145.2768669128418,4
NACT,0.3727372009307146,0.3362719491124153,0.12412483431398869,0.5848843157291412,4,0.27386741200461984,0.21673372015357018,0.06695252889767289,0.4236486032605171,4,0.30112043488770723,0.22202828526496887,0.06871887017041445,0.45442984998226166,4,0.7432624623179436,0.7962937951087952,0.6827355101704597,0.856820747256279,4,42.561972856521606,42.15069770812988,30.37929368019104,54.33337688446045,4
